panel,model,repeat,roc_auc,pr_auc,brier
loo_without_f04,random_forest,8,0.6311389759665622,0.5192956568435599,0.23251256563412606
loo_without_f04,xgboost,8,0.6280912574016022,0.49919168757850946,0.2371376435638725
loo_without_f05,l2_logistic,8,0.6522117729014281,0.5532699582202542,0.2308305400332883
loo_without_f05,random_forest,8,0.6213862765586903,0.5252211004508915,0.23354648023300292
loo_without_f05,xgboost,8,0.6187739463601533,0.520247957848499,0.23848436157586078
loo_without_f06,l2_logistic,8,0.6511668408220133,0.5380326525792863,0.23450003225515131
loo_without_f06,random_forest,8,0.6221699756182515,0.5115223494543182,0.23332390874193298
loo_without_f06,xgboost,8,0.5983106931382793,0.47764703281629295,0.24656451173224528
loo_without_f07,l2_logistic,8,0.6522988505747127,0.5536451293639427,0.23205135471527258
loo_without_f07,random_forest,8,0.6360153256704981,0.511155601418191,0.2312890617119169
loo_without_f07,xgboost,8,0.619035179380007,0.501886604481708,0.23931589234193176
loo_without_f01,l2_logistic,9,0.638888888888889,0.5366287834546732,0.23894784494035703
loo_without_f01,random_forest,9,0.6024904214559387,0.5038529647829808,0.239439207777218
loo_without_f01,xgboost,9,0.5975269940787182,0.47873716766460717,0.2478704828114871
loo_without_f02,l2_logistic,9,0.6731974921630095,0.5615395328507016,0.2324243141290103
loo_without_f02,random_forest,9,0.6323580633925462,0.5198188087114622,0.23239013946704393
loo_without_f02,xgboost,9,0.6276558690351794,0.5069827484234761,0.2446529154344248
loo_without_f03,l2_logistic,9,0.6549982584465344,0.5386001320572971,0.2390140892430512
loo_without_f03,random_forest,9,0.5966562173458725,0.4922292544735346,0.24045518842570177
loo_without_f03,xgboost,9,0.5965691396725881,0.4917054240932021,0.24782365644488244
loo_without_f04,l2_logistic,9,0.6586555207244862,0.5413164404953928,0.23325508452895585
loo_without_f04,random_forest,9,0.6226924416579589,0.5168521525481975,0.23416268408610535
loo_without_f04,xgboost,9,0.6205590386624869,0.5061088762984856,0.23859214368300144
loo_without_f05,l2_logistic,9,0.6545628700801115,0.5644336343439563,0.2306015685325291
loo_without_f05,random_forest,9,0.5841170323928945,0.4960935966956658,0.2437152908385725
loo_without_f05,xgboost,9,0.5836381051898293,0.4974980976022373,0.2510944095508865
loo_without_f06,l2_logistic,9,0.6376698014629049,0.5251435009262717,0.2395657391258741
loo_without_f06,random_forest,9,0.6070184604667364,0.5100201027345355,0.23743152819437965
loo_without_f06,xgboost,9,0.5914315569487983,0.4846833366422171,0.2502851481510323
loo_without_f07,l2_logistic,9,0.632793451758969,0.5129142302647125,0.23930536425221874
loo_without_f07,random_forest,9,0.6067572274468827,0.5004159201245105,0.2377009739789987
loo_without_f07,xgboost,9,0.6064089167537443,0.5046543644564421,0.24624414068354883
