repeat,fold,feature_set,model,best_inner_auc,best_params
3,3,prior_plus_locked7,lightgbm,0.4557985587397352,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
3,3,prior_plus_locked7,random_forest,0.49605119825708066,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
3,4,prior_core,xgboost,0.503121334003687,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
3,4,prior_core,lightgbm,0.52726453829395,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
3,4,prior_core,random_forest,0.47945994637171113,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
3,4,prior_plus_locked7,xgboost,0.6404705044410928,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
3,4,prior_plus_locked7,lightgbm,0.6567894251717782,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
3,4,prior_plus_locked7,random_forest,0.6265292441763031,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
4,0,prior_core,xgboost,0.49916205798558744,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
4,0,prior_core,lightgbm,0.5127052957935311,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
4,0,prior_core,random_forest,0.5317370537958773,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
4,0,prior_plus_locked7,xgboost,0.6560562259091671,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
4,0,prior_plus_locked7,lightgbm,0.6437280040221217,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
4,0,prior_plus_locked7,random_forest,0.6416436232612703,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
4,1,prior_core,xgboost,0.49150536282889223,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
4,1,prior_core,lightgbm,0.4573592257415787,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
4,1,prior_core,random_forest,0.5031422825540472,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
4,1,prior_plus_locked7,xgboost,0.5329206468912351,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
4,1,prior_plus_locked7,lightgbm,0.5186756326462209,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
4,1,prior_plus_locked7,random_forest,0.5566763029998324,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
4,2,prior_core,xgboost,0.5475113122171946,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
4,2,prior_core,lightgbm,0.5977878330819507,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
4,2,prior_core,random_forest,0.5886018937489526,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
4,2,prior_plus_locked7,xgboost,0.6120433216021451,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
4,2,prior_plus_locked7,lightgbm,0.6419578515166751,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
4,2,prior_plus_locked7,random_forest,0.6492269984917043,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
4,3,prior_core,xgboost,0.4483199262611028,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
4,3,prior_core,lightgbm,0.45436358304005364,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
4,3,prior_core,random_forest,0.45558907323613207,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
4,3,prior_plus_locked7,xgboost,0.5569381598793364,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
4,3,prior_plus_locked7,lightgbm,0.5309410088821853,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
4,3,prior_plus_locked7,random_forest,0.5623324115971174,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
4,4,prior_core,xgboost,0.4656758002346238,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
4,4,prior_core,lightgbm,0.48066448801742917,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
4,4,prior_core,random_forest,0.5448717948717948,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
4,4,prior_plus_locked7,xgboost,0.5527065527065527,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
4,4,prior_plus_locked7,lightgbm,0.558844477962125,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
4,4,prior_plus_locked7,random_forest,0.5825372884196414,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,0,prior_core,xgboost,0.501466398525222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
5,0,prior_core,lightgbm,0.48117772750125687,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
5,0,prior_core,random_forest,0.5285738226914698,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,0,prior_plus_locked7,xgboost,0.5814165409753645,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
5,0,prior_plus_locked7,lightgbm,0.5673810122339534,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
5,0,prior_plus_locked7,random_forest,0.5917127534774593,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,1,prior_core,xgboost,0.5075938495056141,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
5,1,prior_core,lightgbm,0.5339785486844311,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
5,1,prior_core,random_forest,0.5025452488687783,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,1,prior_plus_locked7,xgboost,0.6264768728004022,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
5,1,prior_plus_locked7,lightgbm,0.6279851684263449,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
5,1,prior_plus_locked7,random_forest,0.5981963298139769,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,2,prior_core,xgboost,0.5171149656443774,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
5,2,prior_core,lightgbm,0.49144251717781134,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
5,2,prior_core,random_forest,0.48391151332327803,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
5,2,prior_plus_locked7,xgboost,0.5743568795039383,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
5,2,prior_plus_locked7,lightgbm,0.5328054298642534,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
5,2,prior_plus_locked7,random_forest,0.5459925423160717,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,3,prior_core,xgboost,0.5016968325791855,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
5,3,prior_core,lightgbm,0.5050695491871962,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
5,3,prior_core,random_forest,0.5333291436232612,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,3,prior_plus_locked7,xgboost,0.5986886207474442,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
5,3,prior_plus_locked7,lightgbm,0.6302999832411597,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
5,3,prior_plus_locked7,random_forest,0.6048370202781967,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
5,4,prior_core,xgboost,0.5728171610524552,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
5,4,prior_core,lightgbm,0.5354973185855538,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
5,4,prior_core,random_forest,0.5522037874979051,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
5,4,prior_plus_locked7,xgboost,0.5938285570638512,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
