cohort,feature_set,model,repeat_index,roc_auc,pr_auc,brier,balanced_accuracy_at_0_5
age_bmi_n130,combined,elasticnet_logistic,7,0.6850335070737156,0.5744259385341315,0.2297837629521963,0.6285678828493422
age_bmi_n130,clinical,elasticnet_logistic,8,0.4724497393894267,0.3680193783669055,0.25406792911388903,0.47542814594192107
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,8,0.6684040704889551,0.5606504291459282,0.22827138087611076,0.6342764954082899
age_bmi_n130,combined,elasticnet_logistic,8,0.6671630677587491,0.5537878566883976,0.22918105349367363,0.6314221891288161
age_bmi_n130,clinical,elasticnet_logistic,9,0.47393894266567393,0.38561005498851253,0.2535920833621194,0.456813104988831
age_bmi_n130,mri7_global_mechanistic,elasticnet_logistic,9,0.631422189128816,0.4743778808990389,0.23959993454570694,0.5928270042194093
age_bmi_n130,combined,elasticnet_logistic,9,0.6192603623727972,0.4681286286540911,0.24456316961161573,0.5991561181434599
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,0,0.49292493528904224,0.37430040117354224,0.24790572027105703,0.4760569456427955
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,0,0.5499999999999999,0.4267672502887994,0.24444104685267012,0.5109577221742881
all_native_missing_n312,combined_native_missing,xgboost_native_missing,0,0.5527610008628128,0.43169258770243796,0.2448773815938165,0.4974978429680759
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,1,0.540207075064711,0.40767306110289747,0.24098072329699313,0.5041415012942192
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,1,0.5550474547023296,0.4183352263105635,0.2447050056118672,0.4907679033649698
all_native_missing_n312,combined_native_missing,xgboost_native_missing,1,0.5409404659188956,0.4152587731303091,0.24681986684947368,0.4951682484900777
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,2,0.48425366695427097,0.3779780924206515,0.24959469019561473,0.48308886971527176
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,2,0.5514667817083693,0.47038213376414956,0.24325310210441983,0.5525021570319241
all_native_missing_n312,combined_native_missing,xgboost_native_missing,2,0.5129853321829163,0.42532472920318126,0.25083434981572056,0.510655737704918
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,3,0.4760353753235548,0.3637129112988004,0.2509883026409095,0.4763589301121656
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,3,0.5226919758412425,0.42490330889614153,0.25340093633585076,0.5235547886108713
all_native_missing_n312,combined_native_missing,xgboost_native_missing,3,0.5119930974978429,0.4231265296862489,0.2545969205442014,0.4802415875754961
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,4,0.5029335634167386,0.3772226993440321,0.24780014196759345,0.4766609145815358
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,4,0.5785375323554789,0.46146981233444173,0.23892487553499736,0.5621656600517688
all_native_missing_n312,combined_native_missing,xgboost_native_missing,4,0.5643658326143226,0.45442457900935906,0.2415212765391348,0.5188524590163934
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,5,0.4758843830888697,0.36091765648546426,0.2529920319191848,0.4708369283865401
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,5,0.5452545297670406,0.431985135728337,0.24929729019022423,0.5291199309749784
all_native_missing_n312,combined_native_missing,xgboost_native_missing,5,0.5140638481449525,0.4143453739272801,0.25575281642840303,0.5062985332182917
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,6,0.528451251078516,0.3844792829301957,0.24470730064326085,0.461130284728214
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,6,0.5582614322691976,0.4418501183205012,0.2426845669164952,0.5191544434857636
all_native_missing_n312,combined_native_missing,xgboost_native_missing,6,0.561518550474547,0.4413236816146089,0.24183807509565997,0.5434426229508197
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,7,0.5082830025884383,0.3826077708701766,0.2452952598334546,0.48045729076790333
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,7,0.5514667817083694,0.4615801972880725,0.24217623191225884,0.5393442622950819
all_native_missing_n312,combined_native_missing,xgboost_native_missing,7,0.5432700603968939,0.452423023005851,0.24440267036871247,0.5203192407247628
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,8,0.46119499568593614,0.3491956648964957,0.2569036207024271,0.44098360655737706
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,8,0.5233390854184642,0.40824930381099256,0.2508585616743014,0.5074633304572908
all_native_missing_n312,combined_native_missing,xgboost_native_missing,8,0.5147972389991372,0.4056762994813691,0.25402555234016855,0.5182916307161346
all_native_missing_n312,clinical_native_missing,xgboost_native_missing,9,0.5158757549611734,0.40421927316325595,0.2451013949390068,0.50297670405522
all_native_missing_n312,mri7_global_mechanistic,xgboost_native_missing,9,0.548662640207075,0.44821045143448723,0.24471153706646084,0.5220880069025021
